Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Ish Sodhi,6,6,0,0,100,New Zealand
Wessly Madhevere,1,5,0,0,20,Zimbabwe
Craig Ervine(c),3,12,0,0,25,Zimbabwe
Regis Chakabva,5,16,1,0,31.25,Zimbabwe
Sean Williams,28,23,3,0,121.73,Zimbabwe
Sikandar Raza,40,24,3,3,166.66,Zimbabwe
Milton Shumba,2,3,0,0,66.66,Zimbabwe
Ryan Burl,2,7,0,0,28.57,Zimbabwe
Luke Jongwe,6,8,0,0,75,Zimbabwe
Richard Ngarava,9,7,0,1,128.57,Zimbabwe
Tendai Chatara,6,7,0,0,85.71,Zimbabwe
Blessing Muzarabani,1,4,0,0,25,Zimbabwe
Stephan Myburgh,8,7,0,1,114.28,Netherlands
Max O'Dowd,52,47,8,1,110.63,Netherlands
Tom Cooper,32,29,2,1,110.34,Netherlands
Colin Ackermann,1,5,0,0,20,Netherlands
Bas de Leede,12,12,2,0,100,Netherlands
Scott Edwards(c),5,6,1,0,83.33,Netherlands
Roelof van der Merwe,0,3,0,0,0,Netherlands
KL Rahul,50,32,3,4,156.25,India
Rohit Sharma(c),2,8,0,0,25,India
Virat Kohli,64,44,8,1,145.45,India
Suryakumar Yadav,30,16,4,0,187.5,India
Hardik Pandya,5,6,0,0,83.33,India
Dinesh Karthik,7,5,1,0,140,India
Axar Patel,7,6,1,0,116.66,India
Ravichandran Ashwin,13,6,1,1,216.66,India
